time_ms,cpu_usage,active_workers,completed
21582,100,5,670
21592,100,5,670
21602,100,5,670
21613,100,5,670
21623,100,5,670
21633,100,5,670
21643,100,5,670
21653,100,5,670
21664,100,5,670
21674,100,5,670
21684,100,5,670
21694,100,5,670
21705,100,5,670
21715,90,4,674
21725,85,6,675
21736,95,7,675
21746,95,7,675
21756,95,7,675
21767,95,7,675
21777,95,7,675
21787,95,7,675
21798,95,7,675
21808,95,7,675
21818,95,7,675
21828,95,7,675
21839,95,7,675
21849,95,7,675
21859,95,7,675
21869,95,7,675
21880,95,7,675
21890,95,7,675
21900,95,7,675
21911,70,7,677
21921,80,8,679
21931,85,6,682
21941,85,6,682
21951,85,6,682
21962,85,6,682
21972,85,6,682
21982,85,6,682
21993,85,6,682
22004,85,6,682
22014,85,6,682
22024,85,6,682
22035,85,6,682
22045,85,6,682
22055,85,6,682
22065,85,6,682
22076,85,6,682
22086,85,6,682
22096,85,6,682
22106,85,6,682
22116,80,3,686
22127,35,1,688
22137,100,5,688
22147,100,5,688
22158,100,5,688
22169,100,5,688
22179,100,5,688
22189,100,5,688
22199,100,5,688
22210,100,5,688
22220,100,5,688
22230,100,5,688
22240,100,5,688
22250,100,5,688
22261,100,5,688
22271,100,5,688
22281,100,5,688
22291,100,5,688
22301,100,5,688
22311,100,5,688
22322,100,5,689
22332,75,5,693
22342,95,7,693
22352,95,7,693
22363,95,7,693
22373,95,7,693
22383,95,7,693
22393,95,7,693
22404,95,7,693
22414,95,7,693
22424,95,7,693
22434,95,7,693
22444,95,7,693
22454,95,7,693
22465,95,7,693
22475,95,7,693
22485,95,7,693
22495,95,7,693
22506,95,7,693
22516,80,8,694
22526,80,8,694
22537,100,5,700
22547,100,5,700
22560,100,5,700
22570,100,5,700
22580,100,5,700
22590,100,5,700
22601,100,5,700
22611,100,5,700
22621,100,5,700
22631,100,5,700
22642,100,5,700
22652,100,5,700
22662,100,5,700
22672,100,5,700
22682,100,5,700
22692,100,5,700
22703,100,5,700
22713,90,4,701
22723,90,4,702
22733,90,4,704
22743,100,5,705
22753,100,5,705
22764,100,5,705
22774,100,5,705
22784,100,5,705
22794,100,5,705
22804,100,5,705
22814,100,5,705
22825,100,5,705
22835,100,5,705
22845,100,5,705
22855,100,5,705
22865,100,5,705
22875,100,5,705
22886,100,5,705
22896,100,5,705
22906,100,5,705
22916,100,5,706
22926,100,5,706
22936,50,5,709
22947,95,7,710
22957,95,7,710
22968,95,7,710
22978,95,7,710
22988,95,7,710
22998,95,7,710
23009,95,7,710
23019,95,7,710
23029,95,7,710
23040,95,7,710
23050,95,7,710
23060,95,7,710
23070,95,7,710
23081,95,7,710
23091,95,7,710
23101,95,7,710
23111,95,7,710
23121,95,7,711
23132,95,7,711
23142,95,7,717
23152,95,7,717
23162,95,7,717
23173,95,7,717
23183,95,7,717
23193,95,7,717
23203,95,7,717
23213,95,7,717
23224,95,7,717
23234,95,7,717
23244,95,7,717
23254,95,7,717
23265,95,7,717
23275,95,7,717
23285,95,7,717
23295,95,7,717
23305,95,7,717
23315,95,7,718
23326,95,7,718
23336,75,5,721
23346,90,4,724
23356,90,4,724
